time,step,valid_time,temp_c
2025-06-01 00:00:00,0 days,2025-06-01 00:00:00,16.581726
2025-06-01 06:00:00,0 days,2025-06-01 06:00:00,14.106476
2025-06-01 12:00:00,0 days,2025-06-01 12:00:00,20.290558
2025-06-01 18:00:00,0 days,2025-06-01 18:00:00,19.199799
2025-06-02 00:00:00,0 days,2025-06-02 00:00:00,14.262604
2025-06-02 06:00:00,0 days,2025-06-02 06:00:00,13.007355
2025-06-02 12:00:00,0 days,2025-06-02 12:00:00,19.410187
2025-06-02 18:00:00,0 days,2025-06-02 18:00:00,20.134186
2025-06-03 00:00:00,0 days,2025-06-03 00:00:00,11.911774
2025-06-03 06:00:00,0 days,2025-06-03 06:00:00,13.228668
2025-06-03 12:00:00,0 days,2025-06-03 12:00:00,14.984039
2025-06-03 18:00:00,0 days,2025-06-03 18:00:00,16.64444
2025-06-04 00:00:00,0 days,2025-06-04 00:00:00,12.123444
2025-06-04 06:00:00,0 days,2025-06-04 06:00:00,11.686859
2025-06-04 12:00:00,0 days,2025-06-04 12:00:00,17.598267
2025-06-04 18:00:00,0 days,2025-06-04 18:00:00,16.656097
2025-06-05 00:00:00,0 days,2025-06-05 00:00:00,12.763153
2025-06-05 06:00:00,0 days,2025-06-05 06:00:00,12.865234
2025-06-05 12:00:00,0 days,2025-06-05 12:00:00,15.049652
2025-06-05 18:00:00,0 days,2025-06-05 18:00:00,15.518646
2025-06-06 00:00:00,0 days,2025-06-06 00:00:00,12.528442
2025-06-06 06:00:00,0 days,2025-06-06 06:00:00,12.110046
2025-06-06 12:00:00,0 days,2025-06-06 12:00:00,17.987335
2025-06-06 18:00:00,0 days,2025-06-06 18:00:00,17.18811
2025-06-07 00:00:00,0 days,2025-06-07 00:00:00,12.476227
2025-06-07 06:00:00,0 days,2025-06-07 06:00:00,11.57666
2025-06-07 12:00:00,0 days,2025-06-07 12:00:00,14.653839
2025-06-07 18:00:00,0 days,2025-06-07 18:00:00,12.5972595
2025-06-08 00:00:00,0 days,2025-06-08 00:00:00,10.612335
2025-06-08 06:00:00,0 days,2025-06-08 06:00:00,9.820648
2025-06-08 12:00:00,0 days,2025-06-08 12:00:00,16.813446
2025-06-08 18:00:00,0 days,2025-06-08 18:00:00,16.825348
2025-06-09 00:00:00,0 days,2025-06-09 00:00:00,12.16394
2025-06-09 06:00:00,0 days,2025-06-09 06:00:00,12.624725
2025-06-09 12:00:00,0 days,2025-06-09 12:00:00,18.537537
2025-06-09 18:00:00,0 days,2025-06-09 18:00:00,18.681854
