time,step,valid_time,temp_c
2025-06-17 00:00:00,0 days 00:00:00,2025-06-17 00:00:00,17.560638
2025-06-17 00:00:00,0 days 06:00:00,2025-06-17 06:00:00,16.244354
2025-06-17 00:00:00,0 days 12:00:00,2025-06-17 12:00:00,26.01651
2025-06-17 00:00:00,0 days 18:00:00,2025-06-17 18:00:00,26.790894
2025-06-17 00:00:00,1 days 00:00:00,2025-06-18 00:00:00,17.752594
2025-06-17 00:00:00,1 days 06:00:00,2025-06-18 06:00:00,17.219757
2025-06-17 00:00:00,1 days 12:00:00,2025-06-18 12:00:00,26.512268
2025-06-17 00:00:00,1 days 18:00:00,2025-06-18 18:00:00,27.773315
2025-06-17 00:00:00,2 days 00:00:00,2025-06-19 00:00:00,17.889435
2025-06-17 00:00:00,2 days 06:00:00,2025-06-19 06:00:00,18.300934
2025-06-17 00:00:00,2 days 12:00:00,2025-06-19 12:00:00,28.36023
2025-06-17 00:00:00,2 days 18:00:00,2025-06-19 18:00:00,25.531036
2025-06-17 00:00:00,3 days 00:00:00,2025-06-20 00:00:00,16.84262
2025-06-17 00:00:00,3 days 06:00:00,2025-06-20 06:00:00,17.953339
2025-06-17 00:00:00,3 days 12:00:00,2025-06-20 12:00:00,26.901947
2025-06-17 00:00:00,3 days 18:00:00,2025-06-20 18:00:00,24.499237
2025-06-17 00:00:00,4 days 00:00:00,2025-06-21 00:00:00,16.385162
2025-06-17 00:00:00,4 days 06:00:00,2025-06-21 06:00:00,18.601166
2025-06-17 00:00:00,4 days 12:00:00,2025-06-21 12:00:00,30.19342
2025-06-17 00:00:00,4 days 18:00:00,2025-06-21 18:00:00,28.593384
2025-06-17 00:00:00,5 days 00:00:00,2025-06-22 00:00:00,20.196075
2025-06-17 00:00:00,5 days 06:00:00,2025-06-22 06:00:00,20.549042
2025-06-17 00:00:00,5 days 12:00:00,2025-06-22 12:00:00,28.244232
2025-06-17 00:00:00,5 days 18:00:00,2025-06-22 18:00:00,25.95816
2025-06-17 00:00:00,6 days 00:00:00,2025-06-23 00:00:00,17.968567
2025-06-17 00:00:00,6 days 06:00:00,2025-06-23 06:00:00,17.62082
2025-06-17 00:00:00,6 days 12:00:00,2025-06-23 12:00:00,24.915985
2025-06-17 00:00:00,6 days 18:00:00,2025-06-23 18:00:00,24.93222
2025-06-17 00:00:00,7 days 00:00:00,2025-06-24 00:00:00,17.168823
2025-06-17 00:00:00,7 days 06:00:00,2025-06-24 06:00:00,17.073792
2025-06-17 00:00:00,7 days 12:00:00,2025-06-24 12:00:00,26.436127
2025-06-17 00:00:00,7 days 18:00:00,2025-06-24 18:00:00,26.796295
2025-06-17 00:00:00,8 days 00:00:00,2025-06-25 00:00:00,18.946991
2025-06-17 00:00:00,8 days 06:00:00,2025-06-25 06:00:00,18.82611
2025-06-17 00:00:00,8 days 12:00:00,2025-06-25 12:00:00,28.388245
2025-06-17 00:00:00,8 days 18:00:00,2025-06-25 18:00:00,28.17978
2025-06-17 00:00:00,9 days 00:00:00,2025-06-26 00:00:00,20.330841
2025-06-17 00:00:00,9 days 06:00:00,2025-06-26 06:00:00,19.722565
2025-06-17 00:00:00,9 days 12:00:00,2025-06-26 12:00:00,26.279388
2025-06-17 00:00:00,9 days 18:00:00,2025-06-26 18:00:00,24.040588
2025-06-17 00:00:00,10 days 00:00:00,2025-06-27 00:00:00,19.08545
2025-06-17 00:00:00,10 days 06:00:00,2025-06-27 06:00:00,19.287994
2025-06-17 00:00:00,10 days 12:00:00,2025-06-27 12:00:00,26.624115
2025-06-17 00:00:00,10 days 18:00:00,2025-06-27 18:00:00,27.71231
2025-06-17 00:00:00,11 days 00:00:00,2025-06-28 00:00:00,20.258118
2025-06-17 00:00:00,11 days 06:00:00,2025-06-28 06:00:00,19.896118
2025-06-17 00:00:00,11 days 12:00:00,2025-06-28 12:00:00,29.761963
2025-06-17 00:00:00,11 days 18:00:00,2025-06-28 18:00:00,30.576996
2025-06-17 00:00:00,12 days 00:00:00,2025-06-29 00:00:00,20.599335
2025-06-17 00:00:00,12 days 06:00:00,2025-06-29 06:00:00,20.846375
2025-06-17 00:00:00,12 days 12:00:00,2025-06-29 12:00:00,30.332
2025-06-17 00:00:00,12 days 18:00:00,2025-06-29 18:00:00,28.19748
2025-06-17 00:00:00,13 days 00:00:00,2025-06-30 00:00:00,19.68277
2025-06-17 00:00:00,13 days 06:00:00,2025-06-30 06:00:00,20.753235
2025-06-17 00:00:00,13 days 12:00:00,2025-06-30 12:00:00,33.02481
2025-06-17 00:00:00,13 days 18:00:00,2025-06-30 18:00:00,32.944122
2025-06-17 00:00:00,14 days 00:00:00,2025-07-01 00:00:00,22.834625
2025-06-17 00:00:00,14 days 06:00:00,2025-07-01 06:00:00,20.341248
2025-06-17 00:00:00,14 days 12:00:00,2025-07-01 12:00:00,28.765045
2025-06-17 00:00:00,14 days 18:00:00,2025-07-01 18:00:00,29.443573
2025-06-17 00:00:00,15 days 00:00:00,2025-07-02 00:00:00,18.185455
2025-06-17 06:00:00,0 days 00:00:00,2025-06-17 06:00:00,16.486969
2025-06-17 06:00:00,0 days 06:00:00,2025-06-17 12:00:00,25.977753
2025-06-17 06:00:00,0 days 12:00:00,2025-06-17 18:00:00,26.926178
2025-06-17 06:00:00,0 days 18:00:00,2025-06-18 00:00:00,17.759613
2025-06-17 06:00:00,1 days 00:00:00,2025-06-18 06:00:00,17.209808
2025-06-17 06:00:00,1 days 06:00:00,2025-06-18 12:00:00,26.301239
2025-06-17 06:00:00,1 days 12:00:00,2025-06-18 18:00:00,27.664398
2025-06-17 06:00:00,1 days 18:00:00,2025-06-19 00:00:00,17.78064
2025-06-17 06:00:00,2 days 00:00:00,2025-06-19 06:00:00,18.264496
2025-06-17 06:00:00,2 days 06:00:00,2025-06-19 12:00:00,28.386932
2025-06-17 06:00:00,2 days 12:00:00,2025-06-19 18:00:00,25.512756
2025-06-17 06:00:00,2 days 18:00:00,2025-06-20 00:00:00,16.660065
2025-06-17 06:00:00,3 days 00:00:00,2025-06-20 06:00:00,17.687836
2025-06-17 06:00:00,3 days 06:00:00,2025-06-20 12:00:00,26.320343
2025-06-17 06:00:00,3 days 12:00:00,2025-06-20 18:00:00,24.621582
2025-06-17 06:00:00,3 days 18:00:00,2025-06-21 00:00:00,16.243317
2025-06-17 06:00:00,4 days 00:00:00,2025-06-21 06:00:00,18.568298
2025-06-17 06:00:00,4 days 06:00:00,2025-06-21 12:00:00,30.478607
2025-06-17 06:00:00,4 days 12:00:00,2025-06-21 18:00:00,29.176361
2025-06-17 06:00:00,4 days 18:00:00,2025-06-22 00:00:00,20.623993
2025-06-17 06:00:00,5 days 00:00:00,2025-06-22 06:00:00,21.378143
2025-06-17 06:00:00,5 days 06:00:00,2025-06-22 12:00:00,28.394928
2025-06-17 06:00:00,5 days 12:00:00,2025-06-22 18:00:00,26.189362
2025-06-17 06:00:00,5 days 18:00:00,2025-06-23 00:00:00,18.001038
2025-06-17 06:00:00,6 days 00:00:00,2025-06-23 06:00:00,17.487396
2025-06-17 06:00:00,6 days 06:00:00,2025-06-23 12:00:00,24.14029
2025-06-17 06:00:00,6 days 12:00:00,2025-06-23 18:00:00,24.450256
2025-06-17 06:00:00,6 days 18:00:00,2025-06-24 00:00:00,16.796509
2025-06-17 06:00:00,7 days 00:00:00,2025-06-24 06:00:00,16.75064
2025-06-17 06:00:00,7 days 06:00:00,2025-06-24 12:00:00,25.191406
2025-06-17 06:00:00,7 days 12:00:00,2025-06-24 18:00:00,26.124207
2025-06-17 06:00:00,7 days 18:00:00,2025-06-25 00:00:00,18.321991
2025-06-17 06:00:00,8 days 00:00:00,2025-06-25 06:00:00,18.037872
2025-06-17 06:00:00,8 days 06:00:00,2025-06-25 12:00:00,27.943085
2025-06-17 06:00:00,8 days 12:00:00,2025-06-25 18:00:00,27.993774
2025-06-17 06:00:00,8 days 18:00:00,2025-06-26 00:00:00,20.596588
2025-06-17 06:00:00,9 days 00:00:00,2025-06-26 06:00:00,19.552887
2025-06-17 06:00:00,9 days 06:00:00,2025-06-26 12:00:00,25.979584
2025-06-17 06:00:00,9 days 12:00:00,2025-06-26 18:00:00,23.438385
2025-06-17 06:00:00,9 days 18:00:00,2025-06-27 00:00:00,17.366547
2025-06-17 06:00:00,10 days 00:00:00,2025-06-27 06:00:00,17.736053
2025-06-17 06:00:00,10 days 06:00:00,2025-06-27 12:00:00,24.042603
2025-06-17 06:00:00,10 days 12:00:00,2025-06-27 18:00:00,25.19696
2025-06-17 06:00:00,10 days 18:00:00,2025-06-28 00:00:00,19.92276
2025-06-17 06:00:00,11 days 00:00:00,2025-06-28 06:00:00,19.794464
2025-06-17 06:00:00,11 days 06:00:00,2025-06-28 12:00:00,28.904938
2025-06-17 06:00:00,11 days 12:00:00,2025-06-28 18:00:00,29.969177
2025-06-17 06:00:00,11 days 18:00:00,2025-06-29 00:00:00,20.644928
2025-06-17 06:00:00,12 days 00:00:00,2025-06-29 06:00:00,20.879791
2025-06-17 06:00:00,12 days 06:00:00,2025-06-29 12:00:00,29.922028
2025-06-17 06:00:00,12 days 12:00:00,2025-06-29 18:00:00,28.505096
2025-06-17 06:00:00,12 days 18:00:00,2025-06-30 00:00:00,19.181763
2025-06-17 06:00:00,13 days 00:00:00,2025-06-30 06:00:00,18.450836
2025-06-17 06:00:00,13 days 06:00:00,2025-06-30 12:00:00,26.188538
2025-06-17 06:00:00,13 days 12:00:00,2025-06-30 18:00:00,23.992828
2025-06-17 06:00:00,13 days 18:00:00,2025-07-01 00:00:00,15.661041
2025-06-17 06:00:00,14 days 00:00:00,2025-07-01 06:00:00,16.60617
2025-06-17 06:00:00,14 days 06:00:00,2025-07-01 12:00:00,26.95581
2025-06-17 06:00:00,14 days 12:00:00,2025-07-01 18:00:00,25.812286
2025-06-17 06:00:00,14 days 18:00:00,2025-07-02 00:00:00,15.907501
2025-06-17 06:00:00,15 days 00:00:00,2025-07-02 06:00:00,17.077179
2025-06-17 12:00:00,0 days 00:00:00,2025-06-17 12:00:00,25.224976
2025-06-17 12:00:00,0 days 06:00:00,2025-06-17 18:00:00,26.287811
2025-06-17 12:00:00,0 days 12:00:00,2025-06-18 00:00:00,17.339935
2025-06-17 12:00:00,0 days 18:00:00,2025-06-18 06:00:00,16.991943
2025-06-17 12:00:00,1 days 00:00:00,2025-06-18 12:00:00,26.602722
2025-06-17 12:00:00,1 days 06:00:00,2025-06-18 18:00:00,28.021729
2025-06-17 12:00:00,1 days 12:00:00,2025-06-19 00:00:00,18.443054
